redstone_print_and_mail_id,fire_dept,fire_chief,full_address,address,city,state,zip,office_number,fax_number,general_email,chief_email,dept_website,city_website,macs_designator,personnel,county,fire_dept_id,data_as_of
169,"Calvaras Consolidated Fire Protection District","Jason Robitaille , Fire C hief","6501 Jenny Lind Road Valley Springs CA 95252","6501 Jenny Lind Road","Valley Springs",CA,95252,"(209) 786- 2227","(209) 920- 4306",admin@calcofire.org,jrobitaille@calcofire.org,www.calcofire.org,,CCN,Volunteer/paid,Calvaras,05045,"Feb 2019"
170,"Cambria Community Services Dist. Fire Dept.","Mark Miller , Fire Chief","2850 Burton Drive Cambria CA 93428","2850 Burton Drive",Cambria,CA,93428,"(805) 927- 6240","(805) 927- 6242",fire@cambriacsd.org,mmiller@cambriacsd.org,"www.cambriacsd.org/cm/fire -safety",www.cambriacsd.org,CMB,"Mostly Paid","San Luis Obispo",40020,"Feb 2019"
171,"Cameron Park/CDF Fire Dept.","Mike Kaslin , Fire Chief","3200 Country Club Drive Cameron Park CA -8631","3200 Country Club Drive","Cameron Park",CA,-8631,"(530) 677- 6190","(530) 672- 2248",,mike.kaslin@fire.ca.gov,www.cameronpark.org/fire.html,www.cameronpark.org,CAM,"Mostly Paid","El Dorado",09050,"Feb 2019"
172,"Camp Meeker Volunteer Fire Dept.","Fred Myer , Fire Chief","P.O. Box 511 Camp Meeker CA 95419","P.O. Box 511","Camp Meeker",CA,95419,"(707) 874- 3660","(707) 874- 3660",,,www.campmeeker.org/CMVFD/CMVFDmain.html,www.campmeeker.org,CMK,Volunteer,Sonoma,49030,"Feb 2019"
173,"Camp Parks Fire and Emergency Services","Mark Shippee , Fire  Chief","520 Mitchell Drive Dublin A 94568","520 Mitchell Drive",Dublin,A,94568,"(925) 875- 4901","(925) 875- 4900",,mark.shippee1@us.army.mil,,,,Paid,Alameda,01835,"Feb 2019"
174,"Camp 	Pendleton Fire Dept.","William Frankel , Fire Chief   Marine Corps Base, Bldg 22131 Box 55521","520 Mitchell Drive Dublin A 94568","520 Mitchell Drive",Dublin,A,94568,"(760) 725- 3376","(760) 725- 4272",,,"MCP   Personnel:  Paid","San Diego   Fire Dept. ID: 37820",,Paid,Alameda,01835,"Feb 2019"
175,"Camp Roberts Emergency Services","Winfred Breland , Fire Chief","Building 4050 Camp Roberts CA - 5000","Building 4050","Camp Roberts",CA,"- 5000","(805) 238- 8406","(805) 238- 8116",,winfred.breland@ca.ngb.army.mil,,,BOB,Paid,"San Luis Obispo",40790,"Feb 2019"
176,"Campo Reservation Fire Dept.","Steven Cuero , Fire Chief","36210 Church Road Campo CA 91906","36210 Church Road",Campo,CA,91906,"(619) 478- 2371","(619) 478- 2867",,scuero@crfpd.org,www.crfpd.org,,CBK,"Mostly Paid","San Diego",37024,"Feb 2019"
177,"Campo Volunteer Fire Dept.","Barry Weibel , Fire  Chief","P.O. Box 55 Campo CA 91906","P.O. Box 55",Campo,CA,91906,"(619) 478- 5310",no_fax,,,,,CPO,Volunteer,"San Diego",37040,"Feb 2019"
178,"Camptonville Volunteer Fire Dept.","Clint Carson , Fire Chief","P.O. Box 37 Camptonville CA 95922","P.O. Box 37",Camptonville,CA,95922,"(530) 288- 0207","(530) 288- 0214",,capt5214@yahoo.com,,,CTN,Volunteer,Yuba,58002,"Feb 2019"
179,"Can	by Fire Protection Dist.","Ron Sherer , Fire Chief","P.O. Box 334 Canby CA 96015","P.O. Box 334",Canby,CA,96015,"(530) 233- 4804",no_fax,,,,,CAN,Volunteer,Modoc,25020,"Feb 2019"
180,"Capay Fire Protection Dist.","Ian Turnbull , Fire Chief","50  - 4th Ave. Orland CA 95963","50  - 4th Ave.",Orland,CA,95963,no_office,no_fax,,,,,CPY,Volunteer,Glenn,52015,"Feb 2019"
181,"Capay Valley Fire Protection Dist.","John Ceteras , Interim Fire Chief","P.O. Box 6 Brooks CA 95606","P.O. Box 6",Brooks,CA,95606,"(530) 796- 3300",no_fax,cvfd@capay.net,,,,PAY,Volunteer,Yolo,57010,"Feb 2019"
182,"Carlotta Fire Dept.","Darrell Bardin , Fire Chief","61 Johnson Lane Carlotta CA 95528","61 Johnson Lane",Carlotta,CA,95528,"(707) 768- 9549","(707) 768- 9043",,lonewolf@eelvalley.net,,,CAR,Volunteer,Humboldt,12035,"Feb 2019"
183,"Carlsbad Fire Dept.","Michael Calderwood , Fire Chief","2560 Orion Way Carlsbad CA 92008","2560 Orion Way",Carlsbad,CA,92008,"(760) 931- 2141","(760) 929- 0256",firemail@carlsbadca.gov,michael.calderwood@carlsbadca.gov,www.carlsbadfire.org,www.ci.carlsbad.ca.us,CBD,Paid,"San Diego",37025,"Feb 2019"
184,"Carmel Fire Dept.","Gaudenz Panholzer , Fire Chief","P.O. Box 6418 Carmel CA 93921","P.O. Box 6418",Carmel,CA,93921,"(831) 620- 2030","(831) 620- 2034",carmelfire@hotmail.com,gpanholzer@ci.monterey.org,,www.carmelcalifornia.com,CBS,"Mostly Paid",Monterey,27015,"Feb 2019"
185,"Carmel Highlands Fire Protection Dist.","George Haines , Fire Chief","2221 Garden Road Monterey CA 93940","2221 Garden Road",Monterey,CA,93940,"(831) 333- 2600","(831) 333- 2660",,george.haines@fire.ca.gov,,,CHF,Paid,Monterey,27010,"Feb 2019"
186,"Carmel Valley Fire Protection Dist.","Michael Urquides , Interim Fire Chief","2221 Garden Road Monterey CA 93940","2221 Garden Road",Monterey,CA,93940,"(831) 333- 2600","(831) 333- 2660",midchief@mbay.net,www.carmelvalleyfire.com,,"CVF   Personnel:  Mostly Volunteer",CHF,Paid,Monterey,27010,"Feb 2019"
187,"Carpinteria	-Summerland Fire Protection Dist.","Greg Fish , Fire Chief","911 Walnut Ave. Carpinteria CA 93013","911 Walnut Ave.",Carpinteria,CA,93013,"(805) 566- 2450","(805) 684- 8242",info@csfd.net,g.fish@csfd.net,www.carpfire.com,www.ci.carpinteria.ca.us,CRP,Paid,"Santa Barbara",42005,"Feb 2019"
188,"Casa Loma Volunteer Fire Assoc.","Kylee Vicha , Fire Chief","P.O. Box 601 Redwood Estates CA 95044","P.O. Box 601","Redwood Estates",CA,95044,"(408) 825- 3270",no_fax,,vichasharklvr@yahoo.com,,,,Volunteer,"Santa Clara",43160,"Feb 2019"
189,"Cassel Volunteer Fire Company","Don Chaix , Fire Chief","P.O. Box 77 Cassel CA 96016","P.O. Box 77",Cassel,CA,96016,"(530) 335- 3074","(530) 335- 5882",,twochaixs@yahoo.com,www.fire.ca.gov,,CSL,Volunteer,Shasta,45905,"Feb 2019"
190,"Castella Fire Protection Dist.","Ron Griffin , Fire Chief","P.O. Box 130 Castella CA 96017","P.O. Box 130",Castella,CA,96017,no_office,"(530) 235- 0456",fire@siskiyou.net,,,,CPD,Volunteer,Shasta,45025,"Feb 2019"
191,"Cathedral City Fire Dept.","Paul Wilson , Fire Chief","32100 Desert Vista Blvd. Cathedral City CA 92234","32100 Desert Vista Blvd.","Cathedral City",CA,92234,"(760) 250- 9816","(760) 328- 3902",,pwilson@cathedralcity.gov,www.cathedralcityfire.org,,CDR,Paid,Riverside,33018,"Feb 2019"
192,"Cayucos Fire Protection Dist.","Bill Radke , Fire Chief","201  Cayucos Drive Cayucos CA 93430","201  Cayucos Drive",Cayucos,CA,93430,"(805) 995- 3372","(805) 995- 0953",,minetti@firedept.net,,,CAY,Volunteer,"San Luis Obispo",40025,"Feb 2019"
193,"Cazadero Community Services Dist.","Steve Krausmann , Fire Chief","P.O. Box 95 Cazadero CA 95421","P.O. Box 95",Cazadero,CA,95421,"(707) 632- 5390","(707) 632- 5444",,,,,CAZ,Volunteer,Sonoma,49035,"Feb 2019"
194,"Cedarville Fire Protection Dist.","Dan Ross , Fire Chief","P.O. Box 39 Cedarville CA 96104","P.O. Box 39",Cedarville,CA,96104,"(530) 279- 2354",no_fax,,ross66@hdo.net,,,CDV,Volunteer,Modoc,25025,"Feb 2019"
195,"Centerville Volunteer Fire Company","Don Newman , Fire Chief","8930 Placer Road Redding CA 96001","8930 Placer Road",Redding,CA,96001,"(530) 246- 1168",no_fax,centervillevfc@sbcglobal.net,,,,CNV,Volunteer,Shasta,45910,"Feb 2019"
196,"Centinela State Prison","A.L. Adams , Fire Chief","P.O. Box 731/2302 Brown Rd. Imperial CA 92251","P.O. Box 731/2302 Brown Rd.",Imperial,CA,92251,"(760) 337- 7646","(760) 337- 7668",,Anthony.Adams@cdcr.ca.gov,,,CEP,Paid,Imperial,13415,"Feb 2019"
197,"Central Calaveras Fire & Rescue Protection Dist.","Joseph Piccinini , Fire Chief","19927 Jesus Maria Rd. Mokelumne Hill CA 95245","19927 Jesus Maria Rd.","Mokelumne Hill",CA,95245,"(209) 754- 4330","(209) 754- 3906",ccfrpd@goldrush.com,chief120@goldrush.com,www.centralcalaverasfire.org,,CCF,"Mostly Volunteer",Calaveras,05060,"Feb 2019"
198,"Central Calif. Womens Facilty Fire Dept.","Robert Blankinship , Fire Chief","P.O. Box 1501 Chowchilla A 93610","P.O. Box 1501",Chowchilla,A,93610,"(559) 665- 5531","(559) 665- 8107",ccwffirechief@softcom.net,,,,CWF,Paid,Madera,20415,"Feb 2019"
199,"Central County Fire Dept.","Don Dornell , Fire Chief","1399 Rollins Rd. Burlingame CA 94010","1399 Rollins Rd.",Burlingame,CA,94010,no_office,"(650) 344- 9950",,ddornell@centralcountyfd.org,www.burlingame.org/Index.aspx?page=30,www.burlingame.org,CEN,Paid,"San Mateo",,"Feb 2019"
200,"Central Fire Aut	hority of Sonoma County","Douglas Williams , Fire Chief","8200 Old Redwood Hwy. Windsor CA 95492","8200 Old Redwood Hwy.",Windsor,CA,95492,"(707) 838- 1170",no_fax,info@cscfire.org,dwilliams@cscfire.org,www.rvfire.org,,,,Sonoma,49165,"Feb 2019"
201,"Central Fire Protection Dist.","Jeff Maxwell , Fire Chief","930  - 17th Ave. Santa Cruz CA 95062","930  - 17th Ave.","Santa Cruz",CA,95062,"(831) 479- 6842","(831) 479- 6848",,jmaxwellcentralfpd.com,www.centralfpd.com,,CTL,"Mostly Paid","Santa Cruz",44065,"Feb 2019"
202,"Ceres Dept. of Public Safety	-Emergency Services","Bryan Nicholes , Fire Division Commander","930  - 17th Ave. Santa Cruz CA 95062","930  - 17th Ave.","Santa Cruz",CA,95062,"(831) 479- 6842","(831) 479- 6848",bryan.nicholes@ci.ceres.ca.us,www.ci.ceres.ca.us/EmergencyDiv.shtml,www.ci.ceres.ca.us,"CES   Personnel:  Mostly Paid",CTL,"Mostly Paid","Santa Cruz",44065,"Feb 2019"
203,"Chalfant Fire Dept.","Tim LeFever , Fire Chief","215 Valley Road Bishop CA 93514","215 Valley Road",Bishop,CA,93514,"(760) 873- 5402","(760) 873- 5356",,,,,CVV,Volunteer,Mono,26012,"Feb 2019"
204,"Che	ster Fire Protection Dist.","Bill Turner , Fire Chief","P.O. Box 177 Chester CA 96020","P.O. Box 177",Chester,CA,96020,"(530) 258- 3456","(530) 258- 2064",,,,,CHE,"Mostly Volunteer",Plumas,32010,"Feb 2019"
205,"Chevron Fire Dept.","Mike Druschel , Fire Chief","324 W. El Segundo Blvd. El Segundo CA 90245","324 W. El Segundo Blvd.","El Segundo",CA,90245,"(310) 615- 5751","(310) 615- 3381",,mdruschel@cheverontexaco.com,,,CVN,"Mostly Paid","Los Angeles",19908,"Feb 2019"
206,"Chevron USA Fire Dept.","Mark Ayers , Fire Chief","841 Chevron Way Richmond CA 94802","841 Chevron Way",Richmond,CA,94802,"(510) 242- 4200","(510) 242- 5853",,maay@chevron.com,,,OIL,Paid,"Contra Costa",07140,"Feb 2019"
207,"Chico Fire Dept.","James Beery , Fire Chief","842 Salem Street Chico CA 95928","842 Salem Street",Chico,CA,95928,"(530) 897- 3400","(530) 895- 4931",mpease@ci.chico.ca.us,jbeery@ci.chico.ca.us,www.ci.chico.ca.us/Fire/Home_Page.asp,www.ci.chico.ca.us,CHI,"Mostly Paid",Butte,04010,"Feb 2019"
208,"China Lake Federal Fire 	Dept.","Ron Sparling , Fire Chief   1 Administration Circle, Bldg. 02473","842 Salem Street Chico CA 95928","842 Salem Street",Chico,CA,95928,"(760) 939- 4628","(760) 939- 4613",,,"NWC    Personnel:  Paid","Kern    Fire Dept. ID: 15060",CHI,"Mostly Paid",Butte,04010,"Feb 2019"
209,"Chino Valley Independent Fire Protection Dist.","Tim Shackelford , Fire Chief","14011 City Center Drive Chino Hills CA 91709","14011 City Center Drive","Chino Hills",CA,91709,"(909) 902- 5260","(909) 902- 5250",info@chinovalleyfire.org,tshackelford@chofire.org,www.chinovalleyfire.org,www.chinohills.org,CHO,Paid,"San Bernardino",36058,"Feb 2019"
210,"Chowchilla Volunteer Fire Dept.","Harry Turner , Fire Chief","240 North First Street Chowchilla A 93610","240 North First Street",Chowchilla,A,93610,"(559) 665- 8626","(559) 665- 8627",,firechief@ci.chowchilla.ca.us,www.ci.chowchilla.ca.us/fire/fire_services.htm,"www.ci.chowchilla. ca.us",CHW,"Mostly Volunteer",Madera,20005,"Feb 2019"
211,"Chuckawalla Valley State Prison","Robert Holtz , Fire Chief","P.O. Box 2289 Blythe CA 92226","P.O. Box 2289",Blythe,CA,92226,"(760) 922- 5300","(760) 922- 9766",,cvsphm@earthlink.net,,,,Paid,Riverside,33415,"Feb 2019"
212,"Chula Vista Fire Dept.","Jim Geering , Fire Chief   276 Forth Ave., Bldg. C, Suite B -143","P.O. Box 2289 Blythe CA 92226","P.O. Box 2289",Blythe,CA,92226,"(619) 409- 5857","(619) 691- 5204",www.chulavistaca.gov,www.chulavistaca.gov,"CHV   Personnel:  Paid","San Diego   Fire Dept. ID: 37030",,Paid,Riverside,33415,"Feb 2019"
213,"Chumash Fire Dept.","Joseph Zavalla , Captain/Fire Program Manager","P.O. Box 2289 Blythe CA 92226","P.O. Box 2289",Blythe,CA,92226,"(619) 409- 5857","(619) 691- 5204",,,www.santaynezchumash.org,"CHU   Personnel: Paid",,Paid,Riverside,33415,"Feb 2019"
214,"CIM 	- Chino Fire Dept.","Philip Kusnier , Fire Chief","P.O. Box 128 Chino CA 91708","P.O. Box 128",Chino,CA,91708,"(909) 597- 1821","(909) 606- 7100",,,,,CIM,Paid,"San Bernardino",36410,"Feb 2019"
215,"Clarksburg Fire Protection Dist.","Craig Hamblin , Fire Chief","P.O. Box 513 Clarksburg CA 95612","P.O. Box 513",Clarksburg,CA,95612,"(916) 744- 1700","(916) 744- 1799",,cfire@msn.com,,,CBF,Volunteer,Yolo,57020,"Feb 2019"
216,"Clear Creek Volunteer Fire Protection Dist.","John Yderraga , Fire Chief","666720 Spring Creek Dr. Westwood CA 96137","666720 Spring Creek Dr.",Westwood,CA,96137,"(530) 256- 3563","(530) 256- 3487",,,,,CLC,Volunteer,Lassen,18045,"Feb 2019"
217,"Clearlake Oaks Fire Protection Dist.","James Robbins , Fire Chief","12655 E. Highway 20 Clearlake Oaks CA 95423","12655 E. Highway 20","Clearlake Oaks",CA,95423,"(707) 998- 3294","(707) 998- 3292",,jrobbins@mchsi.com,,,CLO,"Mostly Volunteer",Lake,17015,"Feb 2019"
218,"Clements Rural Fire Protection Dist.","Dave Ingrum,  Fire Chief","P.O. Box 523 Clements CA 95227","P.O. Box 523",Clements,CA,95227,"(209) 759- 3371","(209) 759- 9642",,dingrum@sjgov.org,,,CLE,Volunteer,"San Joaquin",39020,"Feb 2019"
219,"Cloverdale Fire Protection Dist.","Brian Elliott,  Fire Chief","451 So. Cloverdale Blvd. Cloverdale CA 95425","451 So. Cloverdale Blvd.",Cloverdale,CA,95425,"(707) 894- 3545","(707) 894- 2014",,cfdchief@comcast.net,,www.cloverdale.net,CLD,"Mostly Volunteer",Sonoma,49040,"Feb 2019"
220,"Clovis Fire Dept.","John Binaski , Fire Chief","1233  - 5th Street Clovis CA 93612","1233  - 5th Street",Clovis,CA,93612,"(559) 324- 2260","(559) 324- 2846",,johnbi@ci.clovis.ca.us,"http://www.ci.clovis.ca.us/Departments -and -",www.cloverdale.net,CLD,"Mostly Volunteer","CLV   Personnel:  Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  CLV   Personnel:  Paid","Feb 2019"
221,"Coalinga Fire Dept.","Ben Ramsey , Fire Chief","300 W. Elm Ave. Coalinga CA 93210","300 W. Elm Ave.",Coalinga,CA,93210,"(559) 935- 1652","(559) 935- 1638",,bramsey@coalinga.com,,www.coalinga.com,CLG,"Mostly Paid",Fresno,10010,"Feb 2019"
222,"Coalinga State Hospital Fire 	Services","Stephen Griswold , Fire Chief","P.O. Box 5000 Coalinga CA 93210","P.O. Box 5000",Coalinga,CA,93210,"(559) 935- 6940","(559) 935- 6954",,stephen.griswold@csh.dsh.ca.gov,,,,Paid,Fresno,10490,"Feb 2019"
223,"Coastside Fire Protection Dist.","Paul Cole , Fire Chief","1191 Main Street Half Moon Bay CA 94019","1191 Main Street","Half Moon Bay",CA,94019,"(650) 726- 5213","(650) 726- 0132",,paul.cole@fire.ca.gov,www.coastwidefire.org,,HLF,"Mostly Paid","San Mateo",41045,"Feb 2019"
224,"Colfax City Volunteer Fire Dept.","Chris Paulus , Fire Chief","33 Church Street Chicago Park CA 95712","33 Church Street","Chicago Park",CA,95712,"(530) 346- 6776","(530) 346- 6288",neu.colfaxstn@fire.ca.gov,chris.paulus@fire.ca.gov,,,CFX,Volunteer,Placer,31030,"Feb 2019"
225,"Collegeville Fire Protection Dist.","Dennis Faist , Fire Chief","13225 E. Mariposa Road Stockton CA 95205","13225 E. Mariposa Road",Stockton,CA,95205,"(209) 941- 2339","(209) 462- 3883",,,,,CGV,Volunteer,"San Joaquin",39075,"Feb 2019"
226,"Colma Fire 	Protection Dist.","Geoffrey Balton , Fire Chief","50 Reiner Street Colma CA - 2552","50 Reiner Street",Colma,CA,"- 2552","(650) 755- 5666","(650) 755- 5691",colma47@yahoo.com,clmb19@aol.com,www.colmafire.com/home.html,www.colma.ca.gov,CLM,Volunteer,"San Mateo",41030,"Feb 2019"
227,"Colton Fire Dept.","Tom Hendrix , Fire Chief","303 East E Street Colton CA 92324","303 East E Street",Colton,CA,92324,"(909) 370- 5100","(909) 370- 6146",,thendrix@confire.org,www.coltonfire.com,www.ci.colton.ca.us,COL,Paid,"San Bernardino",36064,"Feb 2019"
228,"Columbia College Fire Dept.","Preston Birdwell , Captain","11600 Columbia College Drive Sonora CA 95370","11600 Columbia College Drive",Sonora,CA,95370,"(209) 588- 5207","(209) 588- 5384",,birdwellp@yosemite.cc.ca.us,www.gocolumbia.org,,CCD,"Mostly Paid",Tuolumne,55740,"Feb 2019"
229,"Columbia Fire Protection Dist.","Randy Nickley , Fire  Chief","11328 Jackson St. Columbia CA 95310","11328 Jackson St.",Columbia,CA,95310,"(209) 532- 3772","(209) 532- 0788",,columbiafire@mlode.com,,,CLB,Volunteer,Tuolumne,55005,"Feb 2019"
230,"Colusa Fire Dept.","Randy Dunn,  Fire Chief","750 Market Street Colusa CA 95932","750 Market Street",Colusa,CA,95932,"(530) 458- 7721","(530) 458- 5883",cfd@colusanet.com,firechief@cityofcolusa.com,,,CLS,"Mostly Volunteer",Colusa,06015,"Feb 2019"
231,"Combat Center Fire Dept.","Randy Leazer , Fire Chief","P.O. Box 6004 MAGTFTC Twentynine Palms CA 92278","P.O. Box 6004 MAGTFTC","Twentynine Palms",CA,92278,"(760) 830- 5239","(760) 830- 5587",,leazerrs@29palms.usmc.mil,,,MCT,Paid,"San Bernardino",36825,"Feb 2019"
232,"Comptche Volunteer Fire Dept.","Larry Tunzi , Fire Chief","P.O. Box 164 Comptche CA -0164","P.O. Box 164",Comptche,CA,-0164,no_office,no_fax,,,,,CMT,Volunteer,Mendocino,23015,"Feb 2019"
233,"Compton Fire Dept.","Jon Thompson , Fire Chief","201 S. Acacia Compton CA 90220","201 S. Acacia",Compton,CA,90220,no_office,"(310) 632- 8414",javierperez@comptonfirefighters.org,jon.thompson@comptonfire.org,www.comptoncity.org/FireDpt/fireDept.html,www.comptoncity.org,CMP,Paid,"Los Angeles",19040,"Feb 2019"
234,"Concord Federal Fire Dept.","Alex J. Kapparos , Fire Chief","410 Norman Avenue Concord CA 94520","410 Norman Avenue",Concord,CA,94520,"(925) 246- 4070","(925) 246- 4073",mickey.hook@us.army.mil,alex.j.kapparos.civ@mail.mil,,,TNT,Paid,"Contra Costa",N3012,"Feb 2019"
235,"Conoco Phillips Fire Dept.","Les Miller , Fire Chief","1380 San Pablo Ave. Rodeo CA 94572","1380 San Pablo Ave.",Rodeo,CA,94572,"(510) 245- 4593","(510) 245- 4693",,les.w.miller@conocophillips.com,,www.conocophillips.com,CPR,Paid,"Contra Costa",07144,"Feb 2019"
236,"Contra Costa County Fire Protection Dist.","Jeff Carman , Fire Chief","2010 Geary Road Pleasant Hill CA 94523","2010 Geary Road","Pleasant Hill",CA,94523,"(925) 941- 3500","(925) 941- 3319",vwish@cccfpd.org,jcarman@cccfpd.org,www.cccfpd.org,"www.co.contra -costa.ca.us",CON,Paid,"Contra Costa",07090,"Feb 2019"
237,"Copco Lake Fire Protection Dist.","Herman Spannaus , Fire Chief","27805 Copco Road Montague CA 96064","27805 Copco Road",Montague,CA,96064,"(530) 459- 3411",no_fax,,copcolakefire@snowcrest.net,,,COC,Volunteer,Siskiyou,47054,"Feb 2019"
238,"Copperopolis Fire Protection Dist.","Steve Kovacs , Fire Chief","P.O. Box 131 Copperopolis CA 95228","P.O. Box 131",Copperopolis,CA,95228,"(209) 785- 2393","(209) 785- 2423",,cfpd1@caltel.com,,,COP,"Mostly Volunteer",Calaveras,05020,"Feb 2019"
239,"Corcoran State Prison Fire	 Dept.","Philip Fortin , Fire Chief -Safety Officer","P.O. Box 8800 Corcoran CA 93212","P.O. Box 8800",Corcoran,CA,93212,"(559) 992- 8800","(559) 992- 7337",cdcfire6@comcast.net,philip.fortin@cdcr.ca.gov,,,CPK,Paid,Kings,16001,"Feb 2019"
240,"Cordelia Fire 	Protection Dist.","Jay Huyssoon , Fire Chief","2155 Cordelia Road Fairfield CA 94534","2155 Cordelia Road",Fairfield,CA,94534,"(707) 864- 0468","(707) 864- 8607",cordeliafire@sbcglobal.net,jhuyssoon@sbcglobal.net,www.cordeliafire.com,,CFD,"Mostly Volunteer",Solano,48055,"Feb 2019"
241,"Corning Volunteer Fire Dept.","Robert Pryatel , Fire Chief","814  - 5th Street Corning CA 96021","814  - 5th Street",Corning,CA,96021,"(530) 824- 7044",no_fax,firehall@corning.org,firechief@corning.org,www.corning.org/fire_dept.htm,www.corning.org,CNG,"Mostly Volunteer",Tehama,52005,"Feb 2019"
242,"Corona Fire 	Dept.","John Medina , Fire Chief","400 S. Vicentia Ave. Corona CA 92882","400 S. Vicentia Ave.",Corona,CA,92882,"(951) 736- 2256","(951) 736- 2497",fire@ci.corona.ca.us,john.medina@ci.corona.ca.us,"http://www.discovercorona.com/City -",www.corning.org,CNG,"Mostly Volunteer","COR   Personnel:  Paid","ERROR extracting [fire_dept_id] field from: MACS Designator:  COR   Personnel:  Paid","Feb 2019"
243,"Coronado Fire Dept.","Jim Lydon , Fire Chief","1001-  6th Street Coronado CA 92118","1001-  6th Street",Coronado,CA,92118,"(619) 522- 7374","(619) 435- 2742",,jlydon@coronado.ca.us,www.coronado.ca.us/ContentPage.asp?ContentID=151,www.coronado.ca.us,CRD,Paid,"San Diego",37045,"Feb 2019"
244,"Correctional Training Facility","John Dugan,  Fire Chief","P.O. Box 686 Soledad CA 93960","P.O. Box 686",Soledad,CA,93960,"(831) 678- 5550","(831) 678- 2049",,,,,CTF,Paid,Monterey,27410,"Feb 2019"
245,"Corte Madera Fire Dept.","Roger Sprehn , Fire Chief","342 Tamalpais Drive Corte Madera CA 94925","342 Tamalpais Drive","Corte Madera",CA,94925,"(415) 927- 5197","(415) 927- 5178","firedept@ci.corte -madera.ca.us","rsprehn@ci.corte -madera.ca.is","http://www.ci.corte -madera.ca.us/firedepartment/index.html","www.ci.corte -madera.ca.us",CMD,"Mostly Paid",Marin,21015,"Feb 2019"
246,"Costa Mesa Fire Dept.","Mike Morgan , Fire Chief","77 Fair Drive Costa Mesa CA 92626","77 Fair Drive","Costa Mesa",CA,92626,"(714) 754- 5106","(714) 754- 4944","firedepartment@ci.costa -mesa.ca.us","mmorgan@ci.costa -mesa.ca.us","www.ci.costa -mesa.ca.us/departments/cmfd.htm","www.ci.costa -mesa.ca.us",COS,Paid,Orange,30020,"Feb 2019"
247,"Cosumnes Community Services District","Tracy Hanson , Fire Chief","8812 Elk Grove Blvd. Elk Grove CA 95624","8812 Elk Grove Blvd.","Elk Grove",CA,95624,"(916) 405- 7100","(916) 685- 6622",,tracyhanson@csdfire.com,www.yourcsd.com,,CSM,Paid,Sacramento,34020,"Feb 2019"
248,"Cottonwood Fire 	Protection Dist.","Jim Flaherty , Fire Chief","P.O. Box 618 Cottonwood CA 96022","P.O. Box 618",Cottonwood,CA,96022,"(530) 347- 4737","(530) 347- 4771",,cfppd23@sbcglobal.net,,www.cottonwoodcofc.org,COT,"Mostly Volunteer",Shasta,45035,"Feb 2019"
249,"Courtland Fire Protection Dist.","Stan Eddy , Fire Chief","P.O. Box 163 Courtland CA 95615","P.O. Box 163",Courtland,CA,95615,"(916) 775- 1210","(916) 775- 2161",,,,,CLF,Volunteer,Sacramento,34015,"Feb 2019"
250,"Covelo Fire Protection Dist.","Bill Baker , Fire Chief","P.O. Box 36 Covelo CA 95428","P.O. Box 36",Covelo,CA,95428,"(707) 983- 6719","(707) 983- 8172",,,,,CVL,"Mostly Volunteer",Mendocino,23020,"Feb 2019"
251,"Crescent City Volunteer Fire Dept.","Steve Wakefield , Fire Chief","255 W. Washington Blvd. Crescent City CA 95531","255 W. Washington Blvd.","Crescent City",CA,95531,no_office,"(707) 465- 4405",,,,,CRS,Volunteer,"Del Norte",08005,"Feb 2019"
252,"Crescent Fire Protection Dist.","Steve Wakefield , Fire Chief","255 W. Washington Blvd. Crescent City CA 95531","255 W. Washington Blvd.","Crescent City",CA,95531,"(707) 464- 2421","(707) 464- 5813","crescentf ire@charterinternet.com",swakefield@charterinternet.com,,,CRT,Volunteer,"Del Norte",08010,"Feb 2019"
253,"Crescent Mills Fire Protection Dist.","Joe Kemp , Fire Chief","P.O. Box 88 Crescent Mills A 95934","P.O. Box 88","Crescent Mills",A,95934,"(530) 284- 6922",no_fax,,,,,CMF,"Mostly Volunteer",Plumas,32015,"Feb 2019"
254,"Crest Forest Fire Protection Dist.","Michael Sherman , Chief Engineer","PO Box 130 Lake Arrowhead CA 92352","PO Box 130","Lake Arrowhead",CA,92352,"(909) 338- 3311","(909) 338- 3217",,"chief -sherman@cffd.org",www.CFFD.org,,CRF,"Mostly Paid","San  Bernardino",36070,"Feb 2019"
255,"Crockett	-Carquinez Fire Protection Dist.","G.C. Littleton , Fire Chief","746 Loring Ave. Crockett CA 94525","746 Loring Ave.",Crockett,CA,94525,"(510) 787- 2717","(510) 787- 2723",,,,,CRK,Volunteer,"Contra Costa",07030,"Feb 2019"
256,"Culver City Fire Dept.","Chris Sellers , Fire Chief","9770 Culver Blvd. Culver City CA 90232","9770 Culver Blvd.","Culver City",CA,90232,"(310) 253- 5900","(310) 253- 5901",,chris.sellers@culvercity.org,"www.ci.culver -city.ca.us/fire",www.culvercity.org,CUL,"Mostly Paid","Los Angeles",19050,"Feb 2019"
257,"Cypress Fire Protection Dist.","George Haines , Fire Chief","2221 Garden Road Monterey CA 93940","2221 Garden Road",Monterey,CA,93940,"(831) 333- 2600","(831) 333- 2660",,George.haines@fire.ca.gov,,,CYP,Paid,Monterey,27024,"Feb 2019"
