first,last,address,city,st,zip,paddress,pcity,pstate,pzip
COOK FAMILY TRUST,,PO Box 191000,Sacramento,CA,95819-1000,7715 18TH ST,SACRAMENTO,CA,95832
COOK INVESTMENT PROPERTIES LLC,,4411 Barnett Ranch Rd,Shingle Springs,CA,95682-9399,4429 DABBLERS CT,SACRAMENTO,CA,95842
COOK INVESTMENT PROPERTIES LLC,,4411 Barnett Ranch Rd,Shingle Springs,CA,95682-9399,7510 SAINT BEDE WAY,SACRAMENTO,CA,95842
CORAL INVESTMENT MANAGEMENT,,5904 Yawl Ct,Citrus Heights,CA,95621-3429,4130 43RD ST,SACRAMENTO,CA,95820
CORAL INVESTMENT MANAGEMENT,,5904 Yawl Ct,Citrus Heights,CA,95621-3429,4132 43RD ST,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3006 SAN JOSE WAY,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3012 SAN JOSE WAY,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3032 SAN JOSE WAY,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3050 SAN JOSE WAY,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3116 44TH ST,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3138 SAN DIEGO WAY,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3217 SAN JOSE WAY,SACRAMENTO,CA,95817
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3250 SAN DIEGO WAY,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3701 18TH AVE,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,3757 36TH ST,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,4037 23RD AVE,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,4400 7TH AVE,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,4441 8TH AVE,SACRAMENTO,CA,95820
CORKY BOB LLC,,PO Box 163838,Sacramento,CA,95816-8838,5017 MASCOT AVE,SACRAMENTO,CA,95820
CROSS,STAYNER,165 Warren Rd,San Mateo,CA,94401-3719,8636 MELLOWOODS WAY,SACRAMENTO,CA,95828
CROSS,STAYNER,165 Warren Rd,San Mateo,CA,94401-3719,8715 CRYSTAL RIVER WAY,SACRAMENTO,CA,95828
CSA LEASING LLC,,2000 Opportunity Dr Ste 140,Roseville,CA,95678-3020,2205 LLOYD LN,SACRAMENTO,CA,95825
CSA LEASING LLC,,2000 Opportunity Dr Ste 140,Roseville,CA,95678-3020,2348 SANTA ANITA DR,SACRAMENTO,CA,95825
CUONG,PHUNG,719 London St,San Francisco,CA,94112-3404,2932 GARDENDALE RD,SACRAMENTO,CA,95822
CUONG,PHUNG,719 London St,San Francisco,CA,94112-3404,5212 GALAXY PKWY,SACRAMENTO,CA,95823
CUONG,BUI,9141 Thilow Dr,Sacramento,CA,95826-4114,4936 DEL NORTE BLVD,SACRAMENTO,CA,95820
CUONG,BUI,9141 Thilow Dr,Sacramento,CA,95826-4114,5620 FRUITRIDGE RD,SACRAMENTO,CA,95820
CUONG,BUI,9141 Thilow Dr,Sacramento,CA,95826-4114,6240 FRUITRIDGE RD,SACRAMENTO,CA,95820
CUONG,BUI,9141 Thilow Dr,Sacramento,CA,95826-4114,6316 FRUITRIDGE RD,SACRAMENTO,CA,95820
CYNTHIA,PLACENCIA,4622 Castana Dr,Cameron Park,CA,95682-4036,2788 26TH AVE,SACRAMENTO,CA,95820
CYNTHIA,PLACENCIA,4622 Castana Dr,Cameron Park,CA,95682-4036,4500 GENE AVE,SACRAMENTO,CA,95838
CYNTHIA,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3580 25TH AVE,SACRAMENTO,CA,95820
CYNTHIA,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3680 26TH AVE,SACRAMENTO,CA,95820
CYNTHIA,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3706 25TH AVE,SACRAMENTO,CA,95820
CYNTHIA,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3813 25TH AVE,SACRAMENTO,CA,95820
CYNTHIA,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3832 25TH AVE,SACRAMENTO,CA,95820
D,WAYMAN,4080 Tilden Dr,Roseville,CA,95661-7945,4812 J PKWY,SACRAMENTO,CA,95823
D,WAYMAN,4080 Tilden Dr,Roseville,CA,95661-7945,8112 MARIPOSA AVE,CITRUS HEIGHTS,CA,95610
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7207 WINTERWILLOW CT,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7215 WILLOWRIVER CT,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7403 SKANDER WAY,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7516 WHISPERWILLOW DR,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7517 ANDREWSARAH CT,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7523 ANDREWSARAH CT,SACRAMENTO,CA,95828
D LEI 2SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7525 ANDREWSARAH CT,SACRAMENTO,CA,95828
D LEI 3SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7965 ORCHARD WOODS CIR,SACRAMENTO,CA,95828
D LEI 3SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,8217 CENTER PKWY,SACRAMENTO,CA,95823
D LEI 3SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,8229 CENTER PKWY,SACRAMENTO,CA,95823
D LEI 3SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,8241 SPICE WAY,SACRAMENTO,CA,95823
D LEI 3SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,8541 OXFORD HILL CT,SACRAMENTO,CA,95828
D LEI SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7556 WATERWILLOW DR,SACRAMENTO,CA,95828
D LEI SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7558 WATERWILLOW DR,SACRAMENTO,CA,95828
D LEI SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7560 WATERWILLOW DR,SACRAMENTO,CA,95828
D LEI SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7564 WATERWILLOW DR,SACRAMENTO,CA,95828
D LEI SAC LLC,,PO Box 12157,San Francisco,CA,94112-0157,7596 WATERWILLOW DR,SACRAMENTO,CA,95828
DAM THERESA & TIEN NGUYEN,,10244 Shoech Way,Elk Grove,CA,95757-3521,5905 STALLON WAY,SACRAMENTO,CA,95823
DAM THERESA & TIEN NGUYEN,,10244 Shoech Way,Elk Grove,CA,95757-3521,6240 BOBBIWOOD WAY,SACRAMENTO,CA,95828
DAN,KE,271 Menard Cir,Sacramento,CA,95835-1632,4512 RUSKIN CT,SACRAMENTO,CA,95842
DAN,KE,271 Menard Cir,Sacramento,CA,95835-1632,5420 EDEN VIEW DR,SACRAMENTO,CA,95823
DAN,KE,271 Menard Cir,Sacramento,CA,95835-1632,6118 SUN DIAL WAY,SACRAMENTO,CA,95823
DANG,VANG,682 E Robinwood Ln,Fresno,CA,93710-6227,4052 43RD ST,SACRAMENTO,CA,95820
DANG,VANG,682 E Robinwood Ln,Fresno,CA,93710-6227,4404 42ND ST,SACRAMENTO,CA,95820
DANHUA,SHAO,221 Northwood Dr,South San Francisco,CA,94080-5832,33 SUN SHOWER PL,SACRAMENTO,CA,95823
DANHUA,SHAO,221 Northwood Dr,South San Francisco,CA,94080-5832,7557 SUN WILLOW LN,SACRAMENTO,CA,95823
DANIEL,ANSIER,PO Box 1906,Folsom,CA,95763-1906,2388 OAKMONT ST,SACRAMENTO,CA,95815
DANIEL,ANSIER,PO Box 1906,Folsom,CA,95763-1906,3540 42ND ST,SACRAMENTO,CA,95817
DANIEL,ANSIER,PO Box 1906,Folsom,CA,95763-1906,4108 W NICHOLS AVE,SACRAMENTO,CA,95820
DANIEL,DUTRA,3104 O St # 314,Sacramento,CA,95816-6519,3224 SAN DIEGO WAY,SACRAMENTO,CA,95820
DANIEL,DUTRA,3104 O St # 314,Sacramento,CA,95816-6519,3304 35TH ST,SACRAMENTO,CA,95817
DANIEL,DUTRA,3104 O St # 314,Sacramento,CA,95816-6519,3702 MARTIN LUTHER KING JR BLVD,SACRAMENTO,CA,95820
DANIEL,DUTRA,3104 O St # 314,Sacramento,CA,95816-6519,4106 18TH AVE,SACRAMENTO,CA,95820
DANIEL,DUTRA,3104 O St # 314,Sacramento,CA,95816-6519,5624 MANMAR WAY,SACRAMENTO,CA,95823
DANIEL,CACHO,4401 69th St,Sacramento,CA,95820-4325,4940 13TH AVE,SACRAMENTO,CA,95820
DANIEL,CACHO,4401 69th St,Sacramento,CA,95820-4325,4948 13TH AVE,SACRAMENTO,CA,95820
DANIEL,PROCTOR,4424 Rutgers Way,Sacramento,CA,95821-2238,2374 ERICKSON ST,SACRAMENTO,CA,95815
DANIEL,PROCTOR,4424 Rutgers Way,Sacramento,CA,95821-2238,5849 ELMO DR,NORTH HIGHLANDS,CA,95660
DANIEL,ZAVALA,PO Box 245035,Sacramento,CA,95824-5035,6405 SUN RIVER DR,SACRAMENTO,CA,95828
DANIEL,ZAVALA,PO Box 245035,Sacramento,CA,95824-5035,7930 CAPISTRANO WAY,SACRAMENTO,CA,95824
DANIEL,AUMAN,10 Garcia Ct,Sacramento,CA,95831-2338,2012 51ST AVE,SACRAMENTO,CA,95822
DANIEL,AUMAN,10 Garcia Ct,Sacramento,CA,95831-2338,2116 60TH AVE,SACRAMENTO,CA,95822
DANIEL,AUMAN,10 Garcia Ct,Sacramento,CA,95831-2338,2138 60TH AVE,SACRAMENTO,CA,95822
DARIN,PRUITT,4907 Tunis Rd,Sacramento,CA,95835-1005,2643 CLAY ST,SACRAMENTO,CA,95815
DARIN,PRUITT,4907 Tunis Rd,Sacramento,CA,95835-1005,7300 EAST PKWY,SACRAMENTO,CA,95823
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,1044 JEAN AVE,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,1164 JEAN AVE,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,1286 BELL AVE,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,1715 ROANOKE AVE,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,1737 ROSALIND ST,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,2020 GRAND AVE,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,2441 COLFAX ST,SACRAMENTO,CA,95815
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,2464 BEAUMONT ST,SACRAMENTO,CA,95815
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,3822 15TH AVE,SACRAMENTO,CA,95820
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,3823 15TH AVE,SACRAMENTO,CA,95820
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,3908 MAHOGANY ST,SACRAMENTO,CA,95838
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,4065 ARCO DEL PASO LN,SACRAMENTO,CA,95834
DARREN,TRUEMAN,140 Vista Creek Cir,Sacramento,CA,95835-2024,637 ALAMOS AVE,SACRAMENTO,CA,95815
"DARREN,L ARBET FAMILY TRUST",,PO Box 23668,San Jose,CA,95153-3668,2279 CRAIG AVE,SACRAMENTO,CA,95832
"DARREN,L ARBET FAMILY TRUST",,PO Box 23668,San Jose,CA,95153-3668,7534 LOMA VERDE WAY,SACRAMENTO,CA,95822
DARY,MENG,4305 Point Lobo Ct,Elk Grove,CA,95758-3922,6 AMES CT,SACRAMENTO,CA,95823
DARY,MENG,4305 Point Lobo Ct,Elk Grove,CA,95758-3922,7744 CENTER PKWY,SACRAMENTO,CA,95823
DAVE,NGOCLAN,8653 Red Clover Way,Elk Grove,CA,95624-4522,6241 BOBBIWOOD WAY,SACRAMENTO,CA,95828
DAVE,NGOCLAN,8653 Red Clover Way,Elk Grove,CA,95624-4522,7029 WALTER AVE,SACRAMENTO,CA,95828
DAVENDRA,SINGH,6801 Garden Hwy,Sacramento,CA,95837-9309,2153 VOLLAN WAY,SACRAMENTO,CA,95822
DAVENDRA,SINGH,6801 Garden Hwy,Sacramento,CA,95837-9309,4034 3RD AVE,SACRAMENTO,CA,95817
DAVENDRA,SINGH,6801 Garden Hwy,Sacramento,CA,95837-9309,4137 SANTA ROSA AVE,SACRAMENTO,CA,95817
DAVID,BERKE,2820 Steamship Cir Apt F,New Orleans,LA,70123-5602,5220 CABRILLO WAY,SACRAMENTO,CA,95820
DAVID,BERKE,2820 Steamship Cir Apt F,New Orleans,LA,70123-5602,5401 CABRILLO WAY,SACRAMENTO,CA,95820
DAVID,DIAZ,2816 Chronicle Ave,Hayward,CA,94542-2006,334 N LINCOLN WAY,GALT,CA,95632
DAVID,DIAZ,2816 Chronicle Ave,Hayward,CA,94542-2006,520 5TH ST,GALT,CA,95632
DAVID,RODRIGUEZ,8574 Bradshaw Rd,Elk Grove,CA,95624-1421,7348 DAVE ST,SACRAMENTO,CA,95828
DAVID,RODRIGUEZ,8574 Bradshaw Rd,Elk Grove,CA,95624-1421,8220 JUDETTE AVE,SACRAMENTO,CA,95828
DAVID,PEREZ,9683 Early Light Way,Elk Grove,CA,95624-4806,7306 KARA DR,SACRAMENTO,CA,95828
DAVID,PEREZ,9683 Early Light Way,Elk Grove,CA,95624-4806,8144 JUDETTE AVE,SACRAMENTO,CA,95828
DAVID,PEREZ,9683 Early Light Way,Elk Grove,CA,95624-4806,8185 VIVIAN CT,SACRAMENTO,CA,95828
DAVID,MERWIN,444 Williams St,Folsom,CA,95630-9558,4600 12TH AVE,SACRAMENTO,CA,95820
DAVID,MERWIN,444 Williams St,Folsom,CA,95630-9558,5330 LAWRENCE DR,SACRAMENTO,CA,95820
DAVID,VO,3615 Orange Grove Ave,North Highlands,CA,95660-5624,2662 PRINCETON ST,SACRAMENTO,CA,95815
DAVID,VO,3615 Orange Grove Ave,North Highlands,CA,95660-5624,3116 ACADEMY WAY,SACRAMENTO,CA,95815
DAVID,PIZARRO,6821 Curved Bridge Rd,Rio Linda,CA,95673-3511,622 EL CAMINO AVE,SACRAMENTO,CA,95815
DAVID,PIZARRO,6821 Curved Bridge Rd,Rio Linda,CA,95673-3511,714 PINEDALE AVE,SACRAMENTO,CA,95838
DAVID,PIZARRO,6821 Curved Bridge Rd,Rio Linda,CA,95673-3511,809 BELL AVE,SACRAMENTO,CA,95838
DAVID,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,3420 25TH AVE,SACRAMENTO,CA,95820
DAVID,DOLLISON,PO Box 686,Rancho Cordova,CA,95741-0686,741 LEE DR,SACRAMENTO,CA,95815
DAVID,KWAN,2520 Marsh Wren Way,Elk Grove,CA,95757-8184,6608 DOREEN WAY,SACRAMENTO,CA,95823
DAVID,KWAN,2520 Marsh Wren Way,Elk Grove,CA,95757-8184,6808 SPRINGRIDGE WAY,ELK GROVE,CA,95758
DAVID,KWAN,2520 Marsh Wren Way,Elk Grove,CA,95757-8184,7685 22ND ST,SACRAMENTO,CA,95832
DAVID,ING,PO Box 1736,Elk Grove,CA,95759-1736,4401 LIVINGSTON WAY,SACRAMENTO,CA,95823
DAVID,ING,PO Box 1736,Elk Grove,CA,95759-1736,7312 DAVE ST,SACRAMENTO,CA,95828
DAVID,WRIGHT,4841 Quonset Dr,Sacramento,CA,95820-6128,4910 78TH ST,SACRAMENTO,CA,95820
DAVID,WRIGHT,4841 Quonset Dr,Sacramento,CA,95820-6128,5201 PRISCILLA LN,SACRAMENTO,CA,95820
DAVID,BADER,3838 Watt Ave Ste C301,Sacramento,CA,95821-2664,1916 MAIN AVE,SACRAMENTO,CA,95838
DAVID,BADER,3838 Watt Ave Ste C301,Sacramento,CA,95821-2664,3308 WEMBERLEY DR,SACRAMENTO,CA,95864
DAVID,SANCHEZ,PO Box 231563,Sacramento,CA,95823-0409,3404 JOLA CIR,SACRAMENTO,CA,95832
DAVID,SANCHEZ,PO Box 231563,Sacramento,CA,95823-0409,6090 SADDLEBACK WAY,SACRAMENTO,CA,95823
DAVID,RASUL,5971 Belleview Ave,Sacramento,CA,95824-2129,5940 BELLEVIEW AVE,SACRAMENTO,CA,95824
DAVID,RASUL,5971 Belleview Ave,Sacramento,CA,95824-2129,5941 BELLEVIEW AVE,SACRAMENTO,CA,95824
DAVID,DIETRICH,2246 North Ave,Sacramento,CA,95838-3134,3918 ASTORIA ST,SACRAMENTO,CA,95838
DAVID,DIETRICH,2246 North Ave,Sacramento,CA,95838-3134,3920 ASTORIA ST,SACRAMENTO,CA,95838
DAVID,BADER,4511 American River Dr,Sacramento,CA,95864-6103,3104 MAYFAIR DR,SACRAMENTO,CA,95864
DAVID,BADER,4511 American River Dr,Sacramento,CA,95864-6103,3400 WEMBERLEY DR,SACRAMENTO,CA,95864
DAYSON ASSOCIATES,,PO Box 546,Shingle Springs,CA,95682-0546,1021 HAMPTON RD,SACRAMENTO,CA,95864
DAYSON ASSOCIATES,,PO Box 546,Shingle Springs,CA,95682-0546,1332 SEBASTIAN WAY,SACRAMENTO,CA,95864
DAYSON ASSOCIATES,,PO Box 546,Shingle Springs,CA,95682-0546,4852 PEALE DR,SACRAMENTO,CA,95842
DEAN,ROSE,6932 13th St,Sacramento,CA,95831-3111,2051 MANGRUM AVE,SACRAMENTO,CA,95822
DEAN,ROSE,6932 13th St,Sacramento,CA,95831-3111,3525 33RD ST,SACRAMENTO,CA,95817
DEBORAH,BRAGA,6214 Calle Bonita,San Jose,CA,95120-4901,4617 DON JULIO BLVD,SACRAMENTO,CA,95842
DEBORAH,BRAGA,6214 Calle Bonita,San Jose,CA,95120-4901,6917 DUCKLING WAY,SACRAMENTO,CA,95842
DELGADILLO FAMILY TRUST,,6644 Gloria Dr,Sacramento,CA,95831-2105,4404 37TH AVE,SACRAMENTO,CA,95824
DELGADILLO FAMILY TRUST,,6644 Gloria Dr,Sacramento,CA,95831-2105,5906 BELLEAU WOOD LN,SACRAMENTO,CA,95822
DEMETER HOLDINGS LLC,,PO Box 582626,Elk Grove,CA,95758-0044,2109 WINAFRED ST,SACRAMENTO,CA,95825
DEMETER HOLDINGS LLC,,PO Box 582626,Elk Grove,CA,95758-0044,4585 UNDERWOOD WAY,SACRAMENTO,CA,95823
DEMETER HOLDINGS LLC,,PO Box 582626,Elk Grove,CA,95758-0044,7171 STEELMAN CIR,SACRAMENTO,CA,95828
DEMETER HOLDINGS LLC,,PO Box 582626,Elk Grove,CA,95758-0044,8254 HAYFIELD CIR,SACRAMENTO,CA,95828
DENESIK,MATT,430 Sun Shower Cir,Sacramento,CA,95823-6732,430 SUN SHOWER CIR,SACRAMENTO,CA,95823
DENESIK,MATT,430 Sun Shower Cir,Sacramento,CA,95823-6732,7486 SUN CASTLE LN,SACRAMENTO,CA,95823
DENNIS,FRYE,2940 Garfield Ave,Carmichael,CA,95608-4422,138 SANTIAGO AVE,SACRAMENTO,CA,95815
DENNIS,FRYE,2940 Garfield Ave,Carmichael,CA,95608-4422,5228 MARCONI AVE,CARMICHAEL,CA,95608
DENNIS,FRYE,2940 Garfield Ave,Carmichael,CA,95608-4422,841 PRICE CT,SACRAMENTO,CA,95815
DENNIS,PATZER,PO Box 334,Davis,CA,95617-0334,3034 39TH ST,SACRAMENTO,CA,95817
DENNIS,PATZER,PO Box 334,Davis,CA,95617-0334,3320 38TH ST,SACRAMENTO,CA,95817
DENNIS,PATZER,PO Box 334,Davis,CA,95617-0334,3710 MARTIN LUTHER KING JR BLVD,SACRAMENTO,CA,95820
DENNIS,COX,9365 Emerald Vista Dr,Elk Grove,CA,95624-2847,5001 71ST ST,SACRAMENTO,CA,95820
DENNIS,COX,9365 Emerald Vista Dr,Elk Grove,CA,95624-2847,5017 DINGMAN CIR,SACRAMENTO,CA,95823
Dewey & Marie Selph Trust,,1814 Adams St,San Mateo,CA,94403-1139,4604 Golden Aspen Dr,Sacramento,CA,95842
Dewey & Marie Selph Trust,,1814 Adams St,San Mateo,CA,94403-1139,5636 Lancelot Dr,Sacramento,CA,95842
Dewey & Marie Selph Trust,,1814 Adams St,San Mateo,CA,94403-1139,7201 Lesterford Ct,Sacramento,CA,95842
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,2537 TAFT ST,SACRAMENTO,CA,95815
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,2605 EVERGREEN ST,SACRAMENTO,CA,95815
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,2660 NORWOOD AVE,SACRAMENTO,CA,95815
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,3929 HAYWOOD ST,SACRAMENTO,CA,95838
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,688 ELEANOR AVE,SACRAMENTO,CA,95815
DHANRAJ,SAHADEO,500 N St Ste 28,Sacramento,CA,95814-4331,845 PRICE CT,SACRAMENTO,CA,95815
DHEERAJ,MALLICK,8943 Springhurst Dr,Elk Grove,CA,95624-3243,4817 TOMASINI WAY,SACRAMENTO,CA,95823
DHEERAJ,MALLICK,8943 Springhurst Dr,Elk Grove,CA,95624-3243,7026 PEEVEY CT,SACRAMENTO,CA,95823
DHEERAJ,MALLICK,8943 Springhurst Dr,Elk Grove,CA,95624-3243,7495 MANDY DR,SACRAMENTO,CA,95823
DHEERAJ,MALLICK,8943 Springhurst Dr,Elk Grove,CA,95624-3243,8240 SPICE WAY,SACRAMENTO,CA,95823
DHILLON FAMILY TRUST,,PO Box 188423,Sacramento,CA,95818-8423,4817 42ND AVE,SACRAMENTO,CA,95824
DHILLON FAMILY TRUST,,PO Box 188423,Sacramento,CA,95818-8423,7463 SYLVIA WAY,SACRAMENTO,CA,95822
DICK,DEISSROTH,6218 Sun Dial Way,Sacramento,CA,95823-6102,6212 SUN DIAL WAY,SACRAMENTO,CA,95823
DICK,DEISSROTH,6218 Sun Dial Way,Sacramento,CA,95823-6102,6218 SUN DIAL WAY,SACRAMENTO,CA,95823
DINH,NGUYEN,7813 Neyland Way,Sacramento,CA,95829-1458,5740 WALLACE AVE,SACRAMENTO,CA,95824
DINH,NGUYEN,7813 Neyland Way,Sacramento,CA,95829-1458,5748 WALLACE AVE,SACRAMENTO,CA,95824
DINO,KAMBAS,3115 17th St,Sacramento,CA,95818-3816,6650 CHANDLER DR,SACRAMENTO,CA,95828
DINO,KAMBAS,3115 17th St,Sacramento,CA,95818-3816,7140 LAWNWOOD DR,SACRAMENTO,CA,95828
DJUNAEDI,BASUKI,11813 Prospect Hill Dr,Gold River,CA,95670-8263,7836 ORCHARD WOODS CIR,SACRAMENTO,CA,95828
DJUNAEDI,BASUKI,11813 Prospect Hill Dr,Gold River,CA,95670-8263,8041 KINGSDALE WAY,SACRAMENTO,CA,95823
DON,SHEAGLEY,250 Pelican Bay Cir,Sacramento,CA,95835-2145,1120 PEBBLEWOOD DR,SACRAMENTO,CA,95833
DON,SHEAGLEY,250 Pelican Bay Cir,Sacramento,CA,95835-2145,3011 MENDEL WAY,SACRAMENTO,CA,95833
DON KEY ENTRPRS LLC,,8830 Cook Riolo Rd,Roseville,CA,95747-9239,6225 SCOTIA WAY,NORTH HIGHLANDS,CA,95660
DON KEY ENTRPRS LLC,,8830 Cook Riolo Rd,Roseville,CA,95747-9239,6233 SCOTIA WAY,NORTH HIGHLANDS,CA,95660
DONALD,FREITAS,3353 Mesa Verdes Dr,El Dorado Hills,CA,95762-4516,5490 MENDOCINO BLVD,SACRAMENTO,CA,95820
DONALD,FREITAS,3353 Mesa Verdes Dr,El Dorado Hills,CA,95762-4516,6111 CENTER MALL WAY,SACRAMENTO,CA,95823
DONALD,JU,1212 41st Ave,Sacramento,CA,95822-2943,2135 60TH AVE,SACRAMENTO,CA,95822
DONALD,JU,1212 41st Ave,Sacramento,CA,95822-2943,2745 WAH AVE,SACRAMENTO,CA,95822
DONALD,JU,1212 41st Ave,Sacramento,CA,95822-2943,3121 BEESTON AVE,SACRAMENTO,CA,95822
DONALD,DALBY,7518 29th St,Sacramento,CA,95822-5732,7518 29TH ST,SACRAMENTO,CA,95822
DONALD,DALBY,7518 29th St,Sacramento,CA,95822-5732,9 MILPITAS CIR,SACRAMENTO,CA,95823
DONALD,EVANS,824 Piccadilly Cir,Sacramento,CA,95864-6123,3440 SHADY LN,SACRAMENTO,CA,95821
DONALD,EVANS,824 Piccadilly Cir,Sacramento,CA,95864-6123,3933 BALSAM ST,SACRAMENTO,CA,95838
DONALD,EVANS,824 Piccadilly Cir,Sacramento,CA,95864-6123,3934 IVY ST,SACRAMENTO,CA,95838
DONALD,EVANS,824 Piccadilly Cir,Sacramento,CA,95864-6123,3937 BALSAM ST,SACRAMENTO,CA,95838
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3335 21ST AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3540 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3560 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3600 24TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3608 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3700 24TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3701 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3702 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3703 24TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3704 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3709 26TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3740 26TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3741 26TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,3830 25TH AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,4324 W NICHOLS AVE,SACRAMENTO,CA,95820
DONNA,REED,PO Box 576,Courtland,CA,95615-0576,4921 MASCOT AVE,SACRAMENTO,CA,95820
